Wait_for_Oki_5V_VCC_going_high
Oki_5V_VCC_is_high
ListenerCounter_0=0 Heater[mV]=0 UpperCenter=0 Lower=0 UpperSide=0 Motor=0 Backward=1 Opto=1 Triac1=1 Triac2=1
START ../src/OkiFuserSimulation.cpp
Version 1.0 from Apr 21 2026
Start_simulating_Fuser_Lower_Thermistor=0_mV
Set_opto_interrupter_output_after_startup
Set_4_thermistor_values_according_to_heating_Triac_signals
SimulationCounter_0=0 Heater[mV]=221 UpperCenter=217 Lower=143 UpperSide=221 Motor=0 Backward=1 Opto=0 Triac1=1 Triac2=1
32 222 218 143 218 0 500 0 800 1000
64 222 218 143 222 0 500 0 800 1000
96 222 218 143 218 0 500 0 800 1000
128 222 222 143 218 0 500 0 800 1000
160 222 222 143 222 0 500 0 800 1000
192 222 218 148 222 0 500 0 800 1000
224 218 218 143 218 0 500 0 800 1000
256 218 218 143 218 0 500 0 800 1000
288 218 218 143 222 0 500 0 800 1000
0 218 218 143 218 0 500 0 800 1000
32 218 218 143 218 0 500 0 800 1000
64 222 218 148 218 0 500 0 800 1000
96 222 222 143 218 400 0 0 800 1000
128 222 218 148 218 400 0 0 800 1000
160 218 222 143 222 400 0 0 800 1000
192 222 218 143 218 400 0 0 800 1000
224 222 222 143 222 400 0 0 800 1000
256 218 218 143 222 400 0 0 800 1000
288 222 218 148 218 400 0 0 800 1000
0 218 218 143 222 400 0 0 800 1000
32 222 218 148 222 400 0 0 800 1000
64 218 218 143 218 400 0 0 800 1000
96 218 218 148 222 400 0 0 800 1000
128 222 218 139 218 400 0 0 800 1000
160 218 218 143 218 400 0 0 800 1000
192 218 218 143 218 400 0 0 800 1000
224 222 222 143 222 400 0 0 800 1000
256 218 218 143 218 400 0 0 800 1000
288 218 222 148 218 400 0 0 800 1000
0 222 218 148 222 400 0 0 800 1000
32 222 218 148 218 400 0 0 800 1000
64 222 218 143 222 400 0 0 800 1000
96 222 218 148 222 400 0 0 800 1000
128 222 222 143 222 400 0 0 800 1000
160 222 218 148 218 400 0 0 800 1000
192 218 218 148 222 400 0 0 800 1000
224 222 218 143 218 400 0 0 800 1000
256 222 218 143 222 400 0 0 800 1000
288 218 218 148 218 400 0 0 800 1000
0 222 218 143 222 400 0 0 800 1000
32 222 218 148 218 400 0 0 800 1000
64 218 222 148 218 400 0 0 800 1000
96 222 218 143 218 400 0 0 800 1000
128 222 218 143 222 400 0 0 800 1000
160 218 218 148 222 400 0 0 800 1000
192 222 222 143 218 400 0 0 800 1000
224 218 218 143 218 400 0 0 800 1000
256 218 218 148 222 400 0 0 800 1000
288 222 222 143 222 400 0 0 800 1000
0 222 222 148 218 400 0 0 800 1000
32 218 218 148 222 400 0 0 800 1000
64 221 217 143 221 400 0 0 800 1000
96 222 218 143 218 400 0 0 800 1000
128 222 218 143 222 400 0 0 800 1000
160 222 218 148 218 400 0 0 800 1000
192 218 218 143 222 400 0 0 800 1000
224 222 222 143 218 400 0 0 800 1000
256 222 218 143 222 400 0 0 800 1000
288 218 222 148 218 400 0 0 800 1000
0 222 218 143 218 400 0 0 800 1000
32 222 218 143 222 400 0 0 800 1000
64 218 218 148 222 400 0 0 800 1000
96 222 218 143 222 400 0 0 800 1000
128 222 218 143 218 400 0 0 800 1000
160 218 218 148 218 400 0 0 800 1000
192 218 222 139 222 400 0 0 800 1000
224 222 218 143 222 400 0 0 800 1000
256 222 222 143 218 400 0 0 800 1000
288 222 218 143 222 400 0 0 800 1000
0 218 218 143 218 400 0 0 800 1000
32 222 218 148 218 400 0 0 800 1000
64 222 218 148 218 400 0 0 800 1000
96 222 218 143 222 400 0 0 800 1000
128 221 217 147 221 400 0 0 800 1000
160 217 217 143 221 400 0 0 800 1000
192 221 217 147 221 400 0 0 800 1000
224 222 218 143 222 400 0 0 800 1000
256 222 218 143 222 400 0 0 800 1000
288 222 218 148 222 400 0 0 800 1000
0 218 218 143 218 400 0 0 800 1000
32 222 222 143 218 400 0 0 800 1000
64 222 218 143 222 400 0 0 800 1000
96 222 218 143 222 400 0 0 800 1000
128 218 218 148 218 400 0 0 800 1000
160 222 218 148 218 400 0 0 800 1000
192 222 222 148 218 400 0 0 800 1000
224 222 218 148 222 400 0 0 800 1000
256 222 218 148 218 400 0 0 800 1000
288 218 218 148 222 400 0 0 800 1000
0 222 218 148 218 400 0 0 800 1000
32 218 222 143 222 400 0 0 800 1000
64 222 222 148 222 400 0 0 800 1000
96 222 218 143 222 400 0 0 800 1000
128 222 222 143 218 400 0 0 800 1000
160 222 218 148 222 400 0 0 800 1000
192 222 218 148 222 400 0 0 800 1000
224 218 218 143 222 400 0 0 800 1000
256 222 218 148 218 400 0 0 800 1000
288 222 222 148 222 400 0 0 800 1000
SimulationCounter_100=0 Heater[mV]=222 UpperCenter=218 Lower=148 UpperSide=222 Motor=1 Backward=0 Opto=0 Triac1=1 Triac2=1
32 222 218 148 222 400 0 0 800 1000
Motor_on
64 222 218 148 218 0 0 0 800 1000
96 222 218 139 218 400 0 0 800 1000
128 218 222 148 222 0 0 0 800 1000
160 222 218 143 222 400 0 0 800 1000
192 222 218 148 218 0 0 0 800 1000
224 3641 3646 3230 3650 400 0 0 800 1000
256 218 218 143 218 0 0 0 800 1000
288 222 218 139 218 400 0 0 800 1000
Motor_backward
0 217 217 143 221 0 500 0 800 1000
32 222 218 143 222 400 500 0 800 1000
64 222 218 148 222 0 500 0 800 1000
Triac_just_activated
96 221 217 143 217 0 500 0 0 1000
128 222 222 143 218 400 500 0 0 1000
160 222 218 143 222 0 500 0 0 1000
192 222 222 148 222 0 500 0 0 1000
Close_Opto
224 221 221 147 221 400 500 600 0 1000
256 222 222 148 218 400 500 600 0 1000
288 222 218 143 218 0 500 600 0 1000
0 222 222 143 218 400 0 600 0 1000
Skip_open_Opto
Motor_forward_do_start_new_sequence
32 221 217 147 221 400 0 600 0 1000
64 222 222 148 222 0 0 600 0 1000
96 222 218 148 218 400 0 600 0 1000
128 222 222 143 222 0 0 600 0 1000
160 222 218 143 222 0 0 600 0 1000
